trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,0,-233.6976840557195,"{0: 16, 1: 2, 2: 8, 3: 0, 4: 4}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-137.0386528723224,"{0: 7, 1: 6, 2: 5, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-335.4710107379417,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 7}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-115.78908872527509,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-85.13342312460529,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-101.65416947807574,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,9,-22.194131566387817,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-205.6436271478546,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 5}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,10,-63.9001367170038,"{0: 9, 1: 2, 2: 3, 3: 0, 4: 1}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-58.91550796256208,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,1,-23.53747088997007,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,11,-94.24750231573275,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 2}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,6,-34.183028547774796,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",35,0,-145.76502441171897,"{0: 27, 1: 0, 2: 4, 3: 1, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,4,-107.24858858802824,"{0: 20, 1: 0, 2: 2, 3: 2, 4: 2}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-118.314983588722,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,15,10.698395482275867,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,12,-21.542061467129447,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,0,-99.62304327901529,"{0: 25, 1: 0, 2: 2, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,9,-33.654373739687394,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
1,True,"{'a': 0, 'e': 0}",25,19,10.46448796691352,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
