trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.3, 'e': 0.9704455335485082}",35,0,-123.01934789632948,"{0: 19, 1: 7, 2: 7, 3: 2, 4: 0}",0
2,False,"{'a': 0.3, 'e': 0.9417645335842487}",20,0,-150.84718014476414,"{0: 11, 1: 2, 2: 3, 3: 2, 4: 2}",0
3,False,"{'a': 0.3, 'e': 0.9139311852712282}",25,0,-147.67865223801752,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
4,False,"{'a': 0.3, 'e': 0.8869204367171575}",20,0,-181.0361516354629,"{0: 10, 1: 1, 2: 5, 3: 1, 4: 3}",0
5,False,"{'a': 0.3, 'e': 0.8607079764250578}",30,0,-108.91230340059938,"{0: 19, 1: 3, 2: 6, 3: 1, 4: 1}",0
6,False,"{'a': 0.3, 'e': 0.835270211411272}",20,0,-65.6768208078512,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
7,False,"{'a': 0.3, 'e': 0.8105842459701872}",25,11,-68.22414929493657,"{0: 10, 1: 0, 2: 2, 3: 1, 4: 1}",1
8,False,"{'a': 0.3, 'e': 0.7866278610665534}",30,0,-282.81266820203354,"{0: 15, 1: 2, 2: 8, 3: 0, 4: 5}",0
9,False,"{'a': 0.3, 'e': 0.7633794943368533}",25,0,-67.96303944721376,"{0: 17, 1: 1, 2: 6, 3: 1, 4: 0}",0
10,False,"{'a': 0.3, 'e': 0.7408182206817179}",20,0,-109.68418760083514,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
11,False,"{'a': 0.3, 'e': 0.7189237334319262}",25,0,-127.11957456884399,"{0: 14, 1: 1, 2: 8, 3: 1, 4: 1}",0
12,False,"{'a': 0.3, 'e': 0.6976763260710311}",30,0,-66.75752078456276,"{0: 24, 1: 1, 2: 3, 3: 1, 4: 1}",0
13,False,"{'a': 0.3, 'e': 0.6770568744981647}",20,0,-253.15620197792344,"{0: 9, 1: 1, 2: 4, 3: 1, 4: 5}",0
14,False,"{'a': 0.3, 'e': 0.6570468198150569}",25,0,-124.40926145723667,"{0: 17, 1: 0, 2: 6, 3: 0, 4: 2}",0
15,False,"{'a': 0.3, 'e': 0.6376281516217733}",25,5,-57.37672197586631,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",1
16,False,"{'a': 0.3, 'e': 0.6187833918061408}",20,14,-14.563361655489697,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 0}",1
17,False,"{'a': 0.3, 'e': 0.6004955788122659}",20,4,2.0385940494969104,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.3, 'e': 0.5827482523739896}",20,0,-110.9966933504688,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
19,False,"{'a': 0.3, 'e': 0.5655254386995371}",25,8,-51.171618382288756,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 1}",1
20,False,"{'a': 0.3, 'e': 0.5488116360940265}",20,12,-7.372443341669689,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
21,False,"{'a': 0.3, 'e': 0.5325918010068972}",30,4,-78.05423933605286,"{0: 20, 1: 0, 2: 4, 3: 1, 4: 1}",1
22,False,"{'a': 0.3, 'e': 0.5168513344916993}",30,0,-98.83180699160941,"{0: 22, 1: 1, 2: 3, 3: 3, 4: 1}",1
23,False,"{'a': 0.3, 'e': 0.5015760690660556}",20,4,14.148371380865573,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
24,False,"{'a': 0.3, 'e': 0.4867522559599717}",20,15,9.0203875867949,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,False,"{'a': 0.3, 'e': 0.4723665527410147}",20,0,-86.84024731450592,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
26,False,"{'a': 0.3, 'e': 0.45840601130522357}",20,0,-6.4165569150838815,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
27,False,"{'a': 0.3, 'e': 0.44485806622294116}",30,5,-85.4240795956631,"{0: 21, 1: 0, 2: 0, 3: 2, 4: 2}",1
28,False,"{'a': 0.3, 'e': 0.43171052342907973}",20,0,-45.93553495500382,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
29,False,"{'a': 0.3, 'e': 0.418951549247639}",20,0,-50.60063820403249,"{0: 14, 1: 3, 2: 1, 3: 2, 4: 0}",0
30,False,"{'a': 0.3, 'e': 0.40656965974059917}",25,0,-73.46646788212117,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
31,False,"{'a': 0.3, 'e': 0.39455371037160114}",25,0,-49.90412147587063,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 2}",1
32,False,"{'a': 0.3, 'e': 0.382892885975112}",20,0,-40.899909650590914,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
33,False,"{'a': 0.3, 'e': 0.3715766910220457}",20,0,-55.97673316086076,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
34,False,"{'a': 0.3, 'e': 0.3605949401730783}",30,0,-23.82373109607644,"{0: 25, 1: 1, 2: 3, 3: 1, 4: 0}",0
35,False,"{'a': 0.3, 'e': 0.3499377491111553}",20,10,-7.110532761146266,"{0: 7, 1: 2, 2: 1, 3: 0, 4: 0}",1
36,False,"{'a': 0.3, 'e': 0.3395955256449391}",20,8,18.17590897137223,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
37,False,"{'a': 0.3, 'e': 0.3295589610751891}",25,0,-209.8813538399589,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 5}",0
38,False,"{'a': 0.3, 'e': 0.31981902181630395}",25,8,-4.990540288409094,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
39,False,"{'a': 0.3, 'e': 0.31036694126548503}",20,0,-108.11171272820192,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
40,False,"{'a': 0.3, 'e': 0.30119421191220214}",20,0,-90.65028185056745,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
41,False,"{'a': 0.3, 'e': 0.2922925776808594}",30,0,-147.55700681998476,"{0: 22, 1: 0, 2: 4, 3: 1, 4: 3}",0
42,False,"{'a': 0.3, 'e': 0.28365402649977034}",30,20,4.4326463428437295,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
43,False,"{'a': 0.3, 'e': 0.27527078308975234}",20,0,-75.26030341140913,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
44,False,"{'a': 0.3, 'e': 0.26713530196585045}",25,6,-28.334022086261733,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 1}",1
45,False,"{'a': 0.3, 'e': 0.2592402606458915}",20,4,4.139532985792636,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
46,False,"{'a': 0.3, 'e': 0.2515785530597565}",25,2,-23.399482050149672,"{0: 19, 1: 0, 2: 3, 3: 1, 4: 0}",1
47,False,"{'a': 0.3, 'e': 0.2441432831534371}",25,0,-21.91946411238004,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
48,False,"{'a': 0.3, 'e': 0.2369277586821218}",30,0,1.3669160765249722,"{0: 27, 1: 0, 2: 2, 3: 1, 4: 0}",0
49,False,"{'a': 0.3, 'e': 0.22992548518672382}",25,7,-66.08453003832346,"{0: 13, 1: 2, 2: 0, 3: 2, 4: 1}",1
50,False,"{'a': 0.3, 'e': 0.22313016014842985}",25,16,13.776041695744192,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.3, 'e': 0.21653566731600704}",30,0,-77.18514672391532,"{0: 25, 1: 0, 2: 3, 3: 0, 4: 2}",0
52,False,"{'a': 0.3, 'e': 0.21013607120076472}",30,10,-67.27352449947216,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",1
53,False,"{'a': 0.3, 'e': 0.20392561173421347}",25,3,-8.41586537170097,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 0}",1
54,False,"{'a': 0.3, 'e': 0.1978986990836147}",25,0,-5.228104155398962,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",1
55,False,"{'a': 0.3, 'e': 0.1920499086207541}",25,13,-21.545860806298816,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
56,False,"{'a': 0.3, 'e': 0.18637397603940997}",30,3,38.73768281300336,"{0: 26, 1: 1, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.3, 'e': 0.18086579261712207}",30,0,42.91173531416486,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
