trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9704455335485082}",25,0,-60.655672511089776,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9417645335842487}",20,0,-178.60665594661674,"{0: 8, 1: 1, 2: 8, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.9139311852712282}",25,0,-68.90209792170188,"{0: 15, 1: 3, 2: 7, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.8869204367171575}",30,0,-141.44740517513043,"{0: 21, 1: 1, 2: 4, 3: 2, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.8607079764250578}",35,0,-158.26681115974188,"{0: 21, 1: 3, 2: 9, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.835270211411272}",25,0,-139.12096652432484,"{0: 16, 1: 0, 2: 6, 3: 1, 4: 2}",1
7,False,"{'a': 0.5, 'e': 0.8105842459701872}",20,0,-170.38900841454478,"{0: 9, 1: 3, 2: 4, 3: 2, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.7866278610665534}",20,0,-104.89148035483556,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.7633794943368533}",20,0,-92.74805394509956,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.7408182206817179}",25,0,-117.94962381549993,"{0: 14, 1: 5, 2: 3, 3: 2, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.7189237334319262}",30,0,-136.27682056814223,"{0: 19, 1: 2, 2: 7, 3: 0, 4: 2}",1
12,False,"{'a': 0.5, 'e': 0.6976763260710311}",20,0,-184.49150162492916,"{0: 10, 1: 1, 2: 5, 3: 1, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.6770568744981647}",20,0,-46.225176568781784,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.6570468198150569}",20,0,-59.58186301780999,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.6376281516217733}",20,0,-115.61671575298332,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.6187833918061408}",20,0,-77.6228362295219,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.6004955788122659}",30,0,-181.2821230299212,"{0: 16, 1: 3, 2: 8, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.5827482523739896}",20,0,-45.09628939594689,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.5655254386995371}",25,0,-86.30845269493629,"{0: 16, 1: 1, 2: 6, 3: 2, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.5488116360940265}",20,0,-48.479912385059635,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",25,0,-128.23511447749573,"{0: 16, 1: 2, 2: 3, 3: 3, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",35,0,-201.64518120303728,"{0: 19, 1: 2, 2: 11, 3: 1, 4: 2}",0
3,True,"{'a': 0, 'e': 0}",30,0,-120.37260817744644,"{0: 20, 1: 2, 2: 6, 3: 0, 4: 2}",0
4,True,"{'a': 0, 'e': 0}",25,0,-118.44378057418488,"{0: 14, 1: 3, 2: 4, 3: 4, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",25,0,-47.994217462896714,"{0: 15, 1: 7, 2: 3, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",25,0,-93.75043052613647,"{0: 14, 1: 2, 2: 8, 3: 1, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",30,0,-170.87411044619148,"{0: 20, 1: 1, 2: 5, 3: 1, 4: 3}",0
8,True,"{'a': 0, 'e': 0}",20,0,-118.06759416573784,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
9,True,"{'a': 0, 'e': 0}",35,0,-226.5597684029553,"{0: 21, 1: 3, 2: 5, 3: 3, 4: 3}",0
10,True,"{'a': 0, 'e': 0}",20,10,-29.72338388244206,"{0: 6, 1: 0, 2: 4, 3: 0, 4: 0}",1
